MC_Code,MC_Category
742,Health
763,Retail
780,Professional Services
1520,Professional Services
1711,Professional Services
1731,Professional Services
1740,Professional Services
1750,Professional Services
1761,Professional Services
1771,Professional Services
1799,Professional Services
2741,Professional Services
2791,Professional Services
2842,Professional Services
3000,Transport
3001,Transport
3002,Transport
3003,Transport
3004,Transport
3005,Transport
3006,Transport
3007,Transport
3008,Transport
3009,Transport
3010,Transport
3011,Transport
3012,Transport
3013,Transport
3014,Transport
3015,Transport
3016,Transport
3017,Transport
3018,Transport
3019,Transport
3020,Transport
3021,Transport
3022,Transport
3023,Transport
3024,Transport
3025,Transport
3026,Transport
3027,Transport
3028,Transport
3029,Transport
3030,Transport
3031,Transport
3032,Transport
3033,Transport
3034,Transport
3035,Transport
3036,Transport
3037,Transport
3038,Transport
3039,Transport
3040,Transport
3041,Transport
3042,Transport
3043,Transport
3044,Transport
3045,Transport
3046,Transport
3047,Transport
3048,Transport
3049,Transport
3050,Transport
3051,Transport
3052,Transport
3053,Transport
3054,Transport
3055,Transport
3056,Transport
3057,Transport
3058,Transport
3059,Transport
3060,Transport
3061,Transport
3062,Transport
3063,Transport
3064,Transport
3065,Transport
3066,Transport
3067,Transport
3068,Transport
3069,Transport
3070,Transport
3071,Transport
3072,Transport
3073,Transport
3074,Transport
3075,Transport
3076,Transport
3077,Transport
3078,Transport
3079,Transport
3080,Transport
3081,Transport
3082,Transport
3083,Transport
3084,Transport
3085,Transport
3086,Transport
3087,Transport
3088,Transport
3089,Transport
3090,Transport
3091,Transport
3092,Transport
3093,Transport
3094,Transport
3095,Transport
3096,Transport
3097,Transport
3098,Transport
3099,Transport
3100,Transport
3101,Transport
3102,Transport
3103,Transport
3104,Transport
3105,Transport
3106,Transport
3107,Transport
3108,Transport
3109,Transport
3110,Transport
3111,Transport
3112,Transport
3113,Transport
3114,Transport
3115,Transport
3116,Transport
3117,Transport
3118,Transport
3119,Transport
3120,Transport
3121,Transport
3122,Transport
3123,Transport
3124,Transport
3125,Transport
3126,Transport
3127,Transport
3128,Transport
3129,Transport
3130,Transport
3131,Transport
3132,Transport
3133,Transport
3134,Transport
3135,Transport
3136,Transport
3137,Transport
3138,Transport
3139,Transport
3140,Transport
3141,Transport
3142,Transport
3143,Transport
3144,Transport
3145,Transport
3146,Transport
3147,Transport
3148,Transport
3149,Transport
3150,Transport
3151,Transport
3152,Transport
3153,Transport
3154,Transport
3155,Transport
3156,Transport
3157,Transport
3158,Transport
3159,Transport
3160,Transport
3161,Transport
3162,Transport
3163,Transport
3164,Transport
3165,Transport
3166,Transport
3167,Transport
3168,Transport
3169,Transport
3170,Transport
3171,Transport
3172,Transport
3173,Transport
3174,Transport
3175,Transport
3176,Transport
3177,Transport
3178,Transport
3179,Transport
