Name,County,"Population Census
4/21/1991",Population Census 4/28/1996,Population Census 4/28/2002,Population Census 4/23/2006,Population Census 4/10/2011,Population Census 4/24/2016
Abbeydorney,Kerry,179,159,218,244,412,418
Abbeyfeale,Limerick,"1,501","1,486","1,683","1,940","2,007","2,023"
Abbeyknockmoy,Galway,...,...,...,...,...,262
Abbeyleix,Laois,"1,299","1,259","1,383","1,568","1,827","1,770"
Adamstown,Wexford,...,...,176,173,258,293
Adare,Limerick,899,"1,042","1,102",982,"1,106","1,129"
Aghada - Farsid - Rostellan,Cork,793,786,774,904,"1,015","1,030"
Aglish,Waterford,...,...,193,169,343,333
Ahascragh,Galway,211,240,271,221,205,195
Ailt an Chorráin (Burtonport),Donegal,278,296,346,270,323,304
Allenwood,Kildare,303,341,481,667,845,981
Anagaire (Annagry),Donegal,199,205,247,223,253,236
An Bun Beag - Doirí Beaga (Bunbeg - Derrybeg),Donegal,"1,427","1,400","1,388","1,359","1,553","1,491"
An Charraig (Carrick),Donegal,267,257,245,253,282,265
An Cheathrú Rua (Carraroe),Galway,225,242,629,627,814,781
An Clochán Liath (Dungloe),Donegal,988,"1,042",946,"1,068","1,183","1,164"
An Daingean (Dingle),Kerry,"1,272","1,536","1,828","1,920","1,965","2,050"
"An Fál Carrach (Falcarragh, Cross Roads)",Donegal,951,961,852,842,860,764
Annacotty,Limerick,546,586,"1,342","1,839","2,856","2,930"
Annagassan,Louth,...,...,...,...,180,201
Annaghdown,Galway,...,...,...,227,234,198
Annascaul,Kerry,215,203,202,271,299,318
Annayalla (Annyalla),Monaghan,...,...,...,...,...,228
An Rinn (Ring),Waterford,281,289,332,384,500,499
An Spidéal (Spiddle),Galway,...,...,190,247,250,237
Ardagh,Limerick,316,328,270,271,288,266
Ardara,Donegal,653,635,578,564,731,732
Ardee,Louth,"3,604","3,791","3,948","4,694","4,927","4,928"
Ardfert,Kerry,677,648,691,729,800,749
Ardfinnan,Tipperary,868,848,779,747,946,899
Ardmore,Waterford,375,436,459,412,435,434
Ardnacrusha (Castlebank),Clare,570,655,926,"1,169","1,414","1,383"
Ardskeagh,Clare,...,...,149,245,297,289
Arklow,Wicklow,"7,987","8,557","9,993","11,759","13,009","13,163"
Arthurstown,Wexford,...,...,...,159,135,121
Arva,Cavan,319,327,357,364,380,411
Ashbourne,Meath,"4,411","4,999","6,362","8,528","11,355","12,679"
Ashford,Wicklow,878,"1,215","1,356","1,349","1,449","1,425"
Askeaton,Limerick,893,851,921,979,"1,149","1,137"
Athboy,Meath,"1,083","1,172","1,538","2,213","2,397","2,445"
Athea,Limerick,455,443,410,377,385,369
Athenry,Galway,"1,612","1,614","2,154","3,205","3,950","4,445"
Athgarvan,Kildare,...,...,...,...,"1,016","1,176"
Athleague,Roscommon,...,...,...,...,241,248
Athlone,Westmeath / Roscommon,"15,358","15,544","15,936","17,544","20,153","21,349"
Athy,Kildare,"5,204","5,306","6,049","8,218","9,926","9,677"
Aughnacliffe,Longford,...,...,...,...,148,177
Aughrim,Wicklow,713,745,871,"1,145","1,364","1,442"
Avoca,Wicklow,494,490,564,734,753,771
Baile an Droichid (Ballindrait),Mayo,...,...,...,...,...,170
Baile Chláir (Claregalway),Galway,...,...,562,741,"1,217","1,248"
Baile Mhic Íre (Ballymakeery),Cork,303,294,337,413,425,427
Bailieborough,Cavan,"1,550","1,529","1,660","1,966","2,530","2,683"
Balbradagh,Meath,...,...,...,257,363,374
Balbriggan,Fingal,"7,724","8,473","10,294","15,559","19,960","21,722"
Balla,Mayo,337,316,443,586,671,769
Ballaghaderreen,Roscommon,"1,270","1,248","1,416","1,720","1,822","1,808"
Ballina,Mayo,"8,167","8,762","9,647","10,409","11,086","10,171"
Ballina,Tipperary,477,598,"1,185","1,861","2,442","2,632"
Ballinabrannagh,Carlow,...,...,...,...,389,466
Ballinacarrow,Sligo,...,...,...,...,...,202
Ballinaclash,Wicklow,...,...,...,...,301,311
Ballinagar,Offaly,...,...,...,381,420,453
Ballinagh,Cavan,413,401,502,675,766,936
Ballinakill,Laois,319,299,328,430,435,445
Ballinalack,Westmeath,...,...,...,...,137,137
Ballinalee,Longford,...,...,...,151,308,347
Ballinameen,Roscommon,...,...,...,...,188,191
Ballinamore,Leitrim,743,782,687,805,889,914
Ballinasloe,Galway / Roscommon,"5,892","5,723","6,219","6,303","6,659","6,662"
Ballincar,Sligo,429,456,510,526,444,424
Ballinderreen,Galway,...,...,...,...,...,483
Ballindine,Mayo,232,233,297,249,350,349
Ballineen - Enniskean,Cork,611,624,619,646,700,692
Ballingarry,Limerick,420,389,348,441,527,521
Ballingarry,Tipperary,293,315,314,129,293,269
Ballinlough,Roscommon,228,205,254,262,300,300
Ballinroad,Waterford,235,253,431,794,"1,097","1,161"
Ballinrobe,Mayo,"1,229","1,309","1,626","2,098","2,704","2,786"
Ballinspittle,Cork,...,...,...,...,194,224
Ballintober,Roscommon,...,...,...,...,137,147
Ballintogher,Sligo,...,...,...,182,313,331
Ballintra,Donegal,247,217,216,211,209,191
Ballisodare (Ballysadare),Sligo,581,612,853,971,"1,344","1,350"
Ballivor,Meath,341,383,793,"1,212","1,727","1,809"
Ballon,Carlow,281,258,284,596,684,712
Ballyagran,Limerick,224,215,185,183,190,179
Ballybay,Monaghan,"1,156","1,152","1,064","1,217","1,461","1,241"
Ballybofey - Stranorlar,Donegal,"2,972","3,047","3,603","4,176","4,852","4,852"
Ballyboghil,Fingal,207,296,313,321,352,447
Ballybrittas,Laois,...,...,...,...,331,388
