Client ID,Uptake Rate,Likelihood Category
10001,0.197,Very Low Likelihood
10002,0.109,Very Low Likelihood
10003,1.298,Very Low Likelihood
10004,1.401,Very Low Likelihood
10005,0.277,Very Low Likelihood
10006,14.517,Very Low Likelihood
10007,0.159,Very Low Likelihood
10008,2.76,Very Low Likelihood
10009,0.287,Very Low Likelihood
10010,2.236,Very Low Likelihood
10011,1.326,Very Low Likelihood
10012,1.028,Very Low Likelihood
10013,1.985,Very Low Likelihood
10014,0.161,Very Low Likelihood
10015,0.158,Very Low Likelihood
10016,0.124,Very Low Likelihood
10017,0.14,Very Low Likelihood
10018,0.178,Very Low Likelihood
10019,0.343,Very Low Likelihood
10020,0.635,Very Low Likelihood
10021,19.325,Very Low Likelihood
10022,0.289,Very Low Likelihood
10023,0.344,Very Low Likelihood
10024,0.354,Very Low Likelihood
10025,0.183,Very Low Likelihood
10026,0.263,Very Low Likelihood
10027,1.664,Very Low Likelihood
10028,0.163,Very Low Likelihood
10029,0.145,Very Low Likelihood
10030,0.159,Very Low Likelihood
10031,0.458,Very Low Likelihood
10032,6.611,Very Low Likelihood
10033,0.102,Very Low Likelihood
10034,0.122,Very Low Likelihood
10035,0.689,Very Low Likelihood
10036,0.177,Very Low Likelihood
10037,0.158,Very Low Likelihood
10038,1.65,Very Low Likelihood
10039,14.223,Very Low Likelihood
10040,8.216,Very Low Likelihood
10041,85.574,Very High Likelihood
10042,33.681,Low Likelihood
10043,0.503,Very Low Likelihood
10044,21.668,Very Low Likelihood
10045,60.236,Medium Likelihood
10046,60.07,Medium Likelihood
10047,14.798,Very Low Likelihood
10048,56.973,Medium Likelihood
10049,2.885,Very Low Likelihood
10050,1.519,Very Low Likelihood
10051,46.872,Low Likelihood
10052,0.697,Very Low Likelihood
10053,31.538,Low Likelihood
10054,0.607,Very Low Likelihood
10055,0.319,Very Low Likelihood
10056,1.071,Very Low Likelihood
10057,56.962,Medium Likelihood
10058,4.355,Very Low Likelihood
10059,0.616,Very Low Likelihood
10060,44.82,Low Likelihood
10061,95.35,Very High Likelihood
10062,1.294,Very Low Likelihood
10063,3.427,Very Low Likelihood
10064,43.944,Low Likelihood
10065,87.959,Very High Likelihood
10066,0.792,Very Low Likelihood
10067,15.712,Very Low Likelihood
10068,56.975,Medium Likelihood
10069,79.454,High Likelihood
10070,39.16,Low Likelihood
10071,0.231,Very Low Likelihood
10072,1.935,Very Low Likelihood
10073,7.683,Very Low Likelihood
10074,4.44,Very Low Likelihood
10075,0.238,Very Low Likelihood
10076,1.44,Very Low Likelihood
10077,41.113,Low Likelihood
10078,12.39,Very Low Likelihood
10079,1.852,Very Low Likelihood
10080,0.819,Very Low Likelihood
10081,90.961,Very High Likelihood
10082,3.216,Very Low Likelihood
10083,0.381,Very Low Likelihood
10084,1.517,Very Low Likelihood
10085,2.283,Very Low Likelihood
10086,0.33,Very Low Likelihood
10087,50.355,Medium Likelihood
10088,43.283,Low Likelihood
10089,67.751,Medium Likelihood
10090,12.814,Very Low Likelihood
10091,33.975,Low Likelihood
10092,0.585,Very Low Likelihood
10093,19.728,Very Low Likelihood
10094,9.726,Very Low Likelihood
10095,21.705,Very Low Likelihood
10096,46.475,Low Likelihood
10097,93.366,Very High Likelihood
10098,74.847,High Likelihood
10099,2.189,Very Low Likelihood
10100,0.34,Very Low Likelihood
10101,3.061,Very Low Likelihood
10102,0.427,Very Low Likelihood
10103,26.148,Low Likelihood
10104,16.855,Very Low Likelihood
10105,15.569,Very Low Likelihood
10106,0.231,Very Low Likelihood
10107,22.965,Very Low Likelihood
10108,88.532,Very High Likelihood
10109,99.917,Very High Likelihood
10110,9.695,Very Low Likelihood
10111,62.29,Medium Likelihood
10112,81.993,High Likelihood
10113,99.108,Very High Likelihood
10114,6.736,Very Low Likelihood
10115,81.833,High Likelihood
10116,71.833,High Likelihood
10117,99.199,Very High Likelihood
10118,10.737,Very Low Likelihood
10119,84.357,High Likelihood
10120,15.402,Very Low Likelihood
10121,17.678,Very Low Likelihood
10122,47.417,Low Likelihood
10123,74.409,High Likelihood
10124,1.236,Very Low Likelihood
10125,99.655,Very High Likelihood
10126,1.567,Very Low Likelihood
10127,5.744,Very Low Likelihood
10128,59.84,Medium Likelihood
10129,88.247,Very High Likelihood
10130,18.612,Very Low Likelihood
10131,84.284,High Likelihood
10132,10.598,Very Low Likelihood
10133,99.683,Very High Likelihood
10134,11.684,Very Low Likelihood
10135,5.066,Very Low Likelihood
10136,21.093,Very Low Likelihood
10137,99.865,Very High Likelihood
10138,4.58,Very Low Likelihood
10139,88.893,Very High Likelihood
10140,65.953,Medium Likelihood
10141,99.752,Very High Likelihood
10142,62.552,Medium Likelihood
10143,60.263,Medium Likelihood
10144,48.425,Low Likelihood
10145,9.293,Very Low Likelihood
10146,90.413,Very High Likelihood
10147,16.554,Very Low Likelihood
10148,0.182,Very Low Likelihood
10149,6.196,Very Low Likelihood
10150,9.724,Very Low Likelihood
10151,69.92,Medium Likelihood
10152,2.82,Very Low Likelihood
10153,98.979,Very High Likelihood
10154,13.037,Very Low Likelihood
10155,4.383,Very Low Likelihood
10156,83.326,High Likelihood
10157,99.097,Very High Likelihood
10158,18.525,Very Low Likelihood
10159,92.794,Very High Likelihood
10160,77.219,High Likelihood
10161,10.161,Very Low Likelihood
10162,92.542,Very High Likelihood
10163,86.475,Very High Likelihood
10164,5.768,Very Low Likelihood
10165,81.276,High Likelihood
10166,17.759,Very Low Likelihood
10167,17.511,Very Low Likelihood
10168,89.34,Very High Likelihood
10169,93.387,Very High Likelihood
10170,0.761,Very Low Likelihood
10171,0.804,Very Low Likelihood
10172,1.158,Very Low Likelihood
10173,33.835,Low Likelihood
10174,37.053,Low Likelihood
10175,0.235,Very Low Likelihood
10176,98.125,Very High Likelihood
10177,99.026,Very High Likelihood
10178,92.053,Very High Likelihood
10179,1.766,Very Low Likelihood
10180,97.268,Very High Likelihood
10181,83.858,High Likelihood
10182,91.684,Very High Likelihood
10183,49.664,Low Likelihood
10184,6.73,Very Low Likelihood
10185,60.016,Medium Likelihood
10186,87.971,Very High Likelihood
10187,68.604,Medium Likelihood
10188,1.097,Very Low Likelihood
10189,99.447,Very High Likelihood
10190,2.076,Very Low Likelihood
10191,9.946,Very Low Likelihood
10192,83.262,High Likelihood
10193,83.456,High Likelihood
10194,97.103,Very High Likelihood
10195,94.038,Very High Likelihood
10196,31.605,Low Likelihood
10197,84.447,High Likelihood
10198,1.242,Very Low Likelihood
10199,41.023,Low Likelihood
10200,75.789,High Likelihood
10201,97.934,Very High Likelihood
