ClientID,Age,Gender,County,LoanHeldBefore,NoOfProductsHeld,AvgTxnAmt,NoOfTxns,LastTxnAmt,LoanFlag,IncomeCategory,MerCategory
1,36,1,Cork,1,4,58.0,0,,0,Lower Middle,Unknown
2,43,1,Cavan,0,4,2663.0,17,83.66,0,Low,Professional Services
3,32,0,Dublin,0,2,46.0,25,526.18,0,Lower Middle,Accommodation
4,52,1,Louth,1,2,0.0,13,70.68,0,Upper,Hardware
5,63,0,Kilkenny,0,1,126.0,39,259.07,0,Upper Middle,Retail
6,33,0,Louth,0,2,338.0,39,257.15,0,Lower Middle,Accommodation
7,25,0,Dublin,0,1,0.0,16,647.02,0,Lower Middle,Transport
8,68,1,Kildare,0,4,977.0,17,605.96,0,Upper Middle,Transport
9,24,0,Cork,0,4,22.0,5,45.0,0,Upper Middle,Retail
10,34,0,Dublin,0,2,115.0,5,330.13,0,Lower Middle,Transport
11,54,0,Dublin,0,4,91.0,0,,0,Lower Middle,Unknown
12,64,0,Kilkenny,0,2,0.0,0,,0,Lower Middle,Unknown
13,31,1,Carlow,1,1,232.0,0,,0,Upper Middle,Unknown
14,33,1,Dublin,0,2,0.0,23,348.19,0,Upper Middle,Health
15,37,0,Offaly,0,5,72.0,0,,0,Lower Middle,Unknown
16,29,0,Dublin,0,2,392.0,0,,0,Upper Middle,Unknown
17,51,1,Dublin,0,2,0.0,11,375.48,0,Lower Middle,Accommodation
18,23,1,Cavan,0,3,0.0,0,,0,Lower Middle,Unknown
19,30,0,Carlow,1,2,324.0,0,,0,Lower Middle,Unknown
20,27,0,Galway,0,1,95.0,37,330.05,0,Upper Middle,Transport
21,48,1,Dublin,1,3,669.0,21,694.31,0,Lower Middle,Retail
22,48,0,Wicklow,1,4,0.0,17,464.99,0,Lower Middle,Retail
23,41,1,Dublin,0,2,0.0,63,490.03,0,Lower Middle,Transport
24,57,1,Cork,0,2,0.0,11,890.0,0,Lower Middle,Office Equipment
25,35,0,Dublin,0,1,1159.0,35,137.42,1,Lower Middle,Professional Services
26,50,1,Dublin,0,5,0.0,55,626.88,0,Lower Middle,Accommodation
27,52,0,Offaly,0,0,0.0,19,339.79,0,Upper Middle,Professional Services
28,46,0,Dublin,-1,1,280.0,20,450.07,0,Lower Middle,Retail
29,22,1,Cavan,0,2,1368.0,30,314.89,0,Low,Accommodation
30,45,0,Dublin,0,2,0.0,15,125.05,0,Lower Middle,Misc
31,21,1,Dublin,0,3,4.0,8,82.78,0,Lower Middle,Professional Services
32,23,1,Kilkenny,0,1,350.0,26,872.78,0,Lower Middle,Professional Services
